Date,State,Dead,Injured,Total,Description
12/04/2022,New York,0,10,10,"2022 New York City Subway attack: Ten people were shot when a gunman motivated by black supremacy opened fire on a New York City Subway train as it approached the 36th Street station in the Sunset Park neighborhood. Immediately before the attack, the assailant donned a gas mask and threw smoke bombs. The incident caused 19 others to be injured as they fled. The suspect was arrested the next day."
10/04/2022,California,2,4,6,"First responders found two men dead, and four others injured, after a shooting."
10/04/2022,Iowa,2,10,12,"A targeted shooting at a nightclub wounded ten, and killed two, after two men opened fire in the Oakhill Jackson neighborhood."
10/04/2022,Louisiana,0,4,4,"Police found three people shot at two related shootings, after a  victim flagged down a police cruiser."
10/04/2022,Indiana,1,5,6,"A fight at a birthday party being held at an event venue erupted into gunfire, with five people being injured, and another person being killed, both in and outside the building."
10/04/2022,Illinois,1,5,6,"An early morning shooting at a gathering being held at an apartment complex killed one, and injured five."
09/04/2022,Washington D.C.,0,4,4,"A shooting carried out by two men across multiple blocks wounded four, including two teenagers."
09/04/2022,Texas,1,3,4,"A fight inside a bar in the Wingate neighborhood spilled outside, where multiple men pulled out firearms and opened fire at each other, resulting in the death of one man, and injuries to three others."
09/04/2022,Florida,0,4,4,Four people were shot outside a convenience store in the Model City neighborhood during the early morning.
07/04/2022,Mississippi,4,0,4,"A man fatally shot his estranged wife, a relative, and another person in a home before shooting himself."
06/04/2022,Pennsylvania,1,3,4,"A man shot two women in the Frankford neighborhood before being pursued by police to an apartment building, where he barricaded himself inside and engaged in a gunfight with police. The man wounded a SEPTA police officer before fatally shooting himself."
04/04/2022,Connecticut,1,3,4,"Four people were shot, one of them fatally, in the Clay Arsenal neighborhood."
04/04/2022,Kentucky,0,4,4,"A large fight involving multiple juveniles erupted into gunfire. A shooter wounded three juveniles, and an adult man."
03/04/2022,California,2,2,4,"Four people were shot, two fatally, near a playground in the Crocker-Amazon neighborhood."
03/04/2022,California,6,12,18,"2022 Sacramento shooting: A shootout between the Crips and Bloods, and the Bloods' local ally the G-Mobb gang, ended with one member of each gang being killed, and one Crips member being injured. Three bystanders were killed, while another eleven were wounded."
03/04/2022,Arkansas,2,2,4,"A man opened fire inside a home in Parkin, killing one and wounding another. Responding police spotted him as he drove west away from the scene, leading to a chase that ended in Wynne, where he engaged in a gunfight, wounding a police officer before being fatally shot."
03/04/2022,New York,0,4,4,Four people were shot as they left a party in the Willert Park neighborhood in the early morning.
03/04/2022,Texas,1,15,16,"During a concert just after midnight, a person fired a shot into the air, and immediately afterward, another person opened fire into the crowd of concertgoers. Sixteen people were shot, including three teenagers, and one person died."
02/04/2022,Colorado,0,5,5,"Five people were shot in two related shootings in the same neighborhood. Four people were shot in the first shooting, and a fifth was shot in the other."
02/04/2022,Louisiana,1,4,5,"Five people were shot, one fatally, in the parking lot of a bar in the early morning."
02/04/2022,Louisiana,1,3,4,Four people were shot in an early morning shooting outside a bar. One person was found dead by responding police.
